Segment Id	Segment Name	Last Updated On
4749	zeotap > Germany > Custom > Gamers	2018-02-27 13:00:10
3544	zeotap > France > Sports (Contextual)	2018-03-04 04:29:14
3626	zeotap > Spain > Demographics > Household Size: 2	2018-02-23 03:54:42
1324	zeotap > US > Demographics > Home State: Hawaii	2018-02-28 04:17:17
5624	zeotap > India > jyoti > test > india > 1	
3864	zeotap > Italy > Demographics > Province: Reggio Emilia	2018-02-23 04:17:16
4036	zeotap > Italy > Demographics > Mums	2018-02-23 05:25:22
1311	zeotap > US > Demographics > Household Income: >$150,000	2018-02-23 23:04:01
4836	zeotap > UK > Interest > Technology & Computing > Entertainment	2018-02-23 05:19:22
4994	zeotap > Italy > Demographics > Region: Nielsen Area 4	2018-03-05 07:53:19
3762	zeotap > Italy > Demographics > Province: Palermo	2018-02-23 04:55:39
1317	zeotap > US > Demographics > Home State: Arkansas	2018-02-23 23:04:01
5615	zeotap > UK > Interest > Casino	
3073	zeotap > Spain > Interest > Hobbies & Interests > Video & Computer Games	2018-02-27 16:01:09
1322	zeotap > US > Demographics > Home State: Florida	2018-02-23 23:04:01
3069	zeotap > Spain > Interest > Hobbies & Interests	2018-02-27 16:01:09
4118	zeotap > DE > Demographics: Women, Age: 35-44	2018-03-04 04:00:47
5620	zeotap > Spain > Jyoti > prodtest> ddp > 1	
1495	zeotap > US > Demographics > Length of Residence: 10 Years-14 Years	2018-02-28 00:01:09
1961	zeotap > US > Interest > Shopping	2018-02-28 00:01:09
4167	zeotap > Spain > Demographic > Generation X	2018-02-23 03:54:42
1374	zeotap > US > Automotive > Vehicle Type: Small Car	2018-02-28 00:01:09
4127	zeotap > DE > Demographics: Men, Age: 18-49	2018-03-04 04:00:47
900	zeotap > US > Interest > Food & Drink > Dining Out	2018-03-05 12:25:51
2965	zeotap > Italy > Demographics > Gender: Female / Women	2018-02-23 05:48:43
5540	zeotap > Spain > Demographic > Province: Santa Cruz de Tenerife	2018-03-04 07:46:41
3717	zeotap > USA > (March Madness) Bracket Participants	2018-02-28 00:01:09
1763	zeotap > US > Interest > Personal Finance > Banking Services	
4122	zeotap > DE > Demographics: Men, Age: 45+	2018-03-04 04:49:08
2909	zeotap > India > Custom > Device Price_10-20K	
4902	zeotap > India > testSegment	
2032	zeotap > US > Interest > Shopping > Durable Goods > Sports & Outdoors > Golf	
4076	zeotap > Italy > Demographics > Region: Valle d Aosta	2018-02-23 05:25:22
4108	zeotap > DE > Demographics: Men, Age: 25-34	2018-02-24 00:44:54
4120	zeotap > DE > Demographics: Men, Age: 45+	2018-02-24 00:44:54
4117	zeotap > DE > Demographics: Women, Age: 35-44	2018-02-24 00:44:54
4132	zeotap > DE > Demographics: Men, Age: 25-49	2018-02-24 00:44:54
4111	zeotap > DE > Demographics: Women, Age: 25-34	2018-02-24 00:44:54
1908	zeotap > US > Interest > Technology & Computing > Streaming > Cord Cutter	
1676	zeotap > US > Interest > Food & Drink > Dining Out	2018-02-23 23:04:01
4035	zeotap > Italy > Demographics > Income: High	2018-02-23 05:25:22
1361	zeotap > US > Demographics > Home State: West Virginia	2018-02-23 20:58:20
762	zeotap > US > Interest > Travel	2018-03-05 12:25:51
3541	zeotap > DE > Sports (Contextual)	2018-03-04 04:49:08
3475	zeotap > Italy > Demographics > Gender: Female / Women	2018-02-23 04:55:39
3137	zeotap > UK > Interest > Arts & Entertainment > Books & Literature	2018-03-04 03:53:21
1472	zeotap > US > Demographics > Language: Malay	2018-02-23 20:58:20
1389	zeotap > US > Automotive > Vehicle Make: Chrysler	2018-02-23 20:58:20
3906	zeotap > Spain > Demographics > Language: Chinese	2018-02-23 03:54:42
3952	zeotap > Italy > Demographics > Region: Marche	2018-02-23 05:48:43
5441	zeotap > Spain > Prod Test > 20180228 > F65+	2018-02-28 11:11:13
1428	zeotap > US > Demographics > Ethnicity: German	2018-02-23 20:58:20
1805	zeotap > US > Interest > Pets > Dogs	2018-02-23 20:58:20
1397	zeotap > US > Automotive > Vehicle Make: Isuzu	2018-02-23 20:58:20
4825	zeotap > UK > Interest > Hobbies & Interests > Board Games/Puzzles	2018-02-23 05:19:22
4696	zeotap > US > Interest > Society	2018-02-23 21:12:27
3907	zeotap > USA > M18-49	2018-02-23 21:12:27
1441	zeotap > US > Demographics > Ethnicity: Vietnamese	2018-02-23 21:12:27
1327	zeotap > US > Demographics > Home State: Indiana	2018-02-23 21:12:27
4835	zeotap > UK > Interest > Technology & Computing	2018-02-23 05:19:22
4389	zeotap > USA > sports	2018-02-23 21:12:27
3361	zeotap > France > Demographics > Age: 25-34	2018-03-04 03:47:43
643	zeotap > US > Demographics > Ethnicity: Jewish	2018-03-05 12:25:51
3790	zeotap > Italy > Demographics > Region: Puglia	2018-02-23 04:55:39
1356	zeotap > US > Demographics > Home State: Texas	2018-02-23 21:12:27
3798	zeotap > Italy > Demographics > Region: Emilia-Romagna	2018-02-23 04:55:39
5510	zeotap > Spain > Demographic > Province: Badajoz	2018-03-04 07:46:41
4058	zeotap > Italy > Demographics > Region: Abruzzo	2018-02-23 05:25:22
3711	zeotap > USA > (March Madness) TV Watchers	2018-02-23 21:12:27
4751	zeotap > Spain > Interest > Easter - Travel Top Destination	2018-02-26 10:10:42
1283	zeotap > Italy > Demographics > Age: 55-64	2018-02-23 05:25:22
1485	zeotap > US > Demographics > Language: Tagalog	2018-02-23 21:12:27
4693	zeotap > US > Interest > Hobbies & Interests	2018-03-05 12:25:51
4827	zeotap > UK > Interest > Hobbies & Interests > Role Playing Games	2018-02-23 05:19:22
3356	zeotap > France > Demographics > Gender: Male	2018-03-04 04:29:14
1957	zeotap > US > Interest > Real Estate > Apartments	2018-02-23 21:12:27
4034	zeotap > Italy > Demographics > Audience Discovery	2018-02-23 05:25:22
4290	zeotap > USA > Interest > Productivity (App Usage)	2018-03-04 23:10:20
3368	zeotap > France > Demographics > Age: 45-54	2018-03-04 04:29:14
4051	zeotap > Italy > Demographics > Province: Reggio Emilia	2018-02-23 05:25:22
1332	zeotap > US > Demographics > Home State: Maine	2018-02-23 21:12:27
3899	zeotap > India > Interest > 25 (Park Square)	
3774	zeotap > Italy > Demographics > Province: Verona	2018-02-23 04:55:39
3365	zeotap > France > Demographics > Age: 35-44	2018-03-04 04:29:14
3364	zeotap > France > Demographics > Age: 35-44	2018-03-04 03:47:43
4660	zeotap > Italy > Jyoti > test > 1	2018-02-25 22:26:05
5032	zeotap > Italy > Demographics > Region: Toscana	2018-03-05 07:53:19
3004	zeotap > Germany > Demographics > Age: 65+	2018-03-04 04:49:08
1817	zeotap > US > Interest > Sports > College Sports	
1714	zeotap > US > Interest > Hobbies & Interests > Mobile Gaming Apps > Action	
3901	zeotap > India > Demographic > Male/Female > 35-64	
4688	zeotap > Spain > Interest > Recipes & Cooking	2018-02-27 11:10:52
4687	zeotap > Spain > Interest > Recipes & Cooking	2018-02-27 11:10:52
2007	zeotap > US > Interest > Shopping > Durable Goods > Electronics & Appliances > Electronics > TV & Home Theatre	
4031	zeotap > Italy > Demographics > Age > Generation: Baby Boomers (55+)	2018-02-23 05:25:22
3858	zeotap > Italy > Demographics > Province: Parma	2018-02-23 04:55:39
3506	Women's Sports(Apps)	2018-03-04 17:57:01
4338	zeotap > USA > Interest > Game Word (App Usage)	2018-03-04 23:48:06
3542	zeotap > France > Entertainment (Contextual)	2018-03-04 04:29:14
4116	zeotap > DE > Demographics: Men, Age: 35-44	2018-03-04 04:49:08
3152	zeotap > Italy > Interest > Sports > Auto Racing	2018-02-23 04:17:16
700	zeotap > US > Demographics > Home State: Wisconsin	2018-03-05 12:25:51
1916	zeotap > US > Interest > Technology & Computing > Streaming > TV Subscribers > Premium TV Streamers	
1256	zeotap > Spain > Demographics > Age: 18-24	2018-02-27 14:41:12
5316	zeotap > Spain > Demographics > Age: 35-44	2018-03-04 07:46:41
3243	zeotap > US > Custom > Device Type: non-LG	2018-03-05 12:25:51
1261	zeotap > Spain > Demographics > Age: 65+	2018-02-27 16:01:09
4054	zeotap > Italy > Demographics > Province: Torino	2018-02-23 05:25:22
3597	Gillette	2017-12-27 06:59:36
3507	Women's Fashion(Apps)	2018-03-04 19:59:34
4279	zeotap > USA > Interest > Video Players & Editors (App Usage)	2018-03-04 20:33:50
1258	zeotap > Spain > Demographics > Age: 35-44	2018-02-27 14:41:12
3060	zeotap > Spain > Demographic > Province: Zaragoza	2018-02-27 16:01:09
3050	zeotap > Spain > Demographic > Province: Segovia	2018-02-27 14:41:12
3045	zeotap > Spain > Demographic > Province: Pontevedra	2018-02-27 14:41:12
